exchange,type,rank,symbol,name,price,price_change_24h,price_change_percentage_24h,volume_24h,market_cap,timestamp
coingecko,gainer,1,BXN,BXN,0.0019133,0.00079147,70.55214,1564159,29707668,2025-06-28T01:14:15.499823
coingecko,gainer,2,OPT,Optio,0.00645991,0.00174281,36.94667,14027.32,36815647,2025-06-28T01:14:15.499865
coingecko,gainer,3,BULLA,BULLA,0.107597,0.02324354,27.55479,12449037,30325272,2025-06-28T01:14:15.499877
coingecko,gainer,4,QANX,QANplatform,0.02791722,0.00566617,25.46474,1025157,47402470,2025-06-28T01:14:15.499887
coingecko,gainer,5,DRV,Derive,0.03988559,0.00762038,23.61793,355022,32730243,2025-06-28T01:14:15.499896
coingecko,gainer,6,SURE,inSure DeFi,0.00094524,0.00017385,22.5369,411.25,25028722,2025-06-28T01:14:15.499907
coingecko,gainer,7,GEMS,Gems VIP,0.050781,0.00875794,20.84092,4607791,25928905,2025-06-28T01:14:15.499916
coingecko,gainer,8,BC,BCGame Coin,0.00457373,0.00078593,20.74912,217305,45704169,2025-06-28T01:14:15.499924
coingecko,gainer,9,INC,Incrypt,0.01270815,0.00216216,20.50224,108060,82012560,2025-06-28T01:14:15.499933
coingecko,gainer,10,EUL,Euler,10.79,1.77,19.63223,5222462,202027843,2025-06-28T01:14:15.499941
coingecko,gainer,11,GNUS,GENIUS AI,2.04,0.287816,16.46243,11465.56,25294644,2025-06-28T01:14:15.499950
coingecko,gainer,12,KOGE,KOGE,47.83,6.69,16.27053,52839560,159988317,2025-06-28T01:14:15.499958
coingecko,gainer,13,MNSRY,Mansory Token,0.04941662,0.00674313,15.80167,3729555,44445136,2025-06-28T01:14:15.499967
coingecko,gainer,14,CUDOS,Cudos,0.00436425,0.00056987,15.01864,1712.05,32163418,2025-06-28T01:14:15.499975
coingecko,gainer,15,USUALX,USUALx,0.092464,0.0114204,14.09174,222.05,38305800,2025-06-28T01:14:15.499984
coingecko,gainer,16,ZEX,Zeta,0.17631,0.02058065,13.21567,2377140,33108372,2025-06-28T01:14:15.499992
coingecko,gainer,17,GAME,GAME by Virtuals,0.052329,0.00589575,12.69738,5331702,52544058,2025-06-28T01:14:15.500001
coingecko,gainer,18,XCM,Coinmetro,0.095466,0.01063419,12.53565,114973,29061573,2025-06-28T01:14:15.500010
coingecko,gainer,19,LOFI,LOFI,0.03304055,0.00360646,12.25268,1592496,33111650,2025-06-28T01:14:15.500018
coingecko,gainer,20,MIM,MAGIC•INTERNET•MONEY (Bitcoin),0.00168577,0.000183,12.17722,1386960,35336335,2025-06-28T01:14:15.500026
coingecko,gainer,21,MMX,MMX,0.337419,0.03635713,12.07631,48436,54527623,2025-06-28T01:14:15.500035
coingecko,gainer,22,LPT,Livepeer,6.14,0.644495,11.73675,118310582,260905692,2025-06-28T01:14:15.500043
coingecko,gainer,23,TAOBOT,tao.bot,0.355004,0.03543853,11.08959,64748,28416203,2025-06-28T01:14:15.500052
coingecko,gainer,24,PENGU,Pudgy Penguins,0.01030655,0.00101819,10.96197,159252679,649062868,2025-06-28T01:14:15.500060
coingecko,gainer,25,LQTY,Liquity,1.61,0.15748,10.83396,55336708,157439604,2025-06-28T01:14:15.500068
coingecko,gainer,26,POKT,Pocket Network,0.03997788,0.00383083,10.5979,55689378,80435770,2025-06-28T01:14:15.500082
coingecko,gainer,27,ROAM,ROAM Token,0.138746,0.01329139,10.59454,309194202,41841877,2025-06-28T01:14:15.500091
coingecko,gainer,28,ANVL,Anvil,0.00166005,0.00015062,9.97853,198044,45361286,2025-06-28T01:14:15.500099
coingecko,gainer,29,SEI,Sei,0.28207,0.02405966,9.32507,703269140,1561778677,2025-06-28T01:14:15.500108
coingecko,gainer,30,QUIL,Wrapped QUIL,0.03416798,0.0029095,9.30786,621864,30889524,2025-06-28T01:14:15.500116
coingecko,gainer,31,KTA,Keeta,0.755559,0.063896,9.23795,14040365,304401585,2025-06-28T01:14:15.500125
coingecko,gainer,32,SHELL,MyShell,0.148295,0.01242861,9.14765,35439250,40115484,2025-06-28T01:14:15.500135
coingecko,gainer,33,BORG,SwissBorg,0.213798,0.01787399,9.12291,656467,210057497,2025-06-28T01:14:15.500143
coingecko,gainer,34,APU,Apu Apustaja,0.00020246,1.658e-05,8.91799,2228911,68455379,2025-06-28T01:14:15.500155
coingecko,gainer,35,HUMA,Huma Finance,0.03218222,0.00236018,7.9142,28792421,55555155,2025-06-28T01:14:15.500164
coingecko,gainer,36,STRX,StrikeX,0.03295655,0.0023615,7.71858,28856,27317270,2025-06-28T01:14:15.500172
coingecko,gainer,37,PNG,Pangolin,0.121252,0.0083221,7.36924,911570,26634861,2025-06-28T01:14:15.500180
coingecko,gainer,38,SIREN,Siren,0.04982045,0.00336668,7.24737,7005589,36566432,2025-06-28T01:14:15.500189
coingecko,gainer,39,ZEUS,Zeus Network,0.142325,0.00953695,7.18211,5077141,54478776,2025-06-28T01:14:15.500197
coingecko,gainer,40,HNT,Helium,2.26,0.150533,7.14735,7963106,413066265,2025-06-28T01:14:15.500206
coingecko,gainer,41,VADER,VaderAI by Virtuals,0.0454559,0.00297372,6.99992,1108492,45402060,2025-06-28T01:14:15.500214
coingecko,gainer,42,DEEP,DeepBook,0.132662,0.00835808,6.72393,22234890,332084299,2025-06-28T01:14:15.500224
coingecko,gainer,43,REI,Rei,0.097382,0.00607064,6.64825,463232,96331679,2025-06-28T01:14:15.500232
coingecko,gainer,44,WCT,WalletConnect Token,0.309993,0.01911118,6.57008,46905472,58017925,2025-06-28T01:14:15.500241
coingecko,gainer,45,ELON,Dogelon Mars,1.22793e-07,7.393e-09,6.40609,6150131,67835997,2025-06-28T01:14:15.500249
coingecko,gainer,46,ZBCN,Zebec Network,0.00382295,0.00021999,6.10589,22866220,327342842,2025-06-28T01:14:15.500257
coingecko,gainer,47,GFI,Goldfinch,0.732389,0.04207725,6.0954,875429,68007962,2025-06-28T01:14:15.500266
coingecko,gainer,48,QUBIC,Qubic,1.51e-06,8.6753e-08,6.08147,1437682,181421649,2025-06-28T01:14:15.500275
coingecko,gainer,49,FWOG,Fwog,0.03932165,0.00222106,5.9866,3804705,38262379,2025-06-28T01:14:15.500283
coingecko,gainer,50,XVG,Verge,0.00504751,0.00028494,5.9828,6704557,83623053,2025-06-28T01:14:15.500291
coingecko,loser,1,BANANAS31,Banana For Scale,0.01103552,-0.004780655392937313,-30.22637,318434641,110049319,2025-06-28T01:14:15.500305
coingecko,loser,2,SN3,τemplar,21.0,-4.845635498335582,-18.74709,4489344,26463369,2025-06-28T01:14:15.500314
coingecko,loser,3,AB,AB,0.00837475,-0.001552435346980862,-15.63822,177898870,544457482,2025-06-28T01:14:15.500322
coingecko,loser,4,CTA,Cross The Ages,0.052017,-0.00739044865985309,-12.4402,3098240,25909914,2025-06-28T01:14:15.500330
coingecko,loser,5,BBT,BabyBoomToken,0.490318,-0.06965411839032964,-12.43884,112671,56274304,2025-06-28T01:14:15.500339
coingecko,loser,6,LMWR,LimeWire,0.075789,-0.01038996455757403,-12.05621,4580137,26545060,2025-06-28T01:14:15.500347
coingecko,loser,7,MNDE,Marinade,0.123273,-0.014609092272645452,-10.59537,1614272,50366036,2025-06-28T01:14:15.500356
coingecko,loser,8,EWT,Energy Web,1.095,-0.12786728312409923,-10.46025,482334,66289657,2025-06-28T01:14:15.500364
coingecko,loser,9,LIQD,LiquidLaunch,0.04213191,-0.004459401080852396,-9.57132,2243460,50471043,2025-06-28T01:14:15.500372
coingecko,loser,10,RLB,Rollbit Coin,0.03303212,-0.003458263102705611,-9.47719,583647,67433051,2025-06-28T01:14:15.500381
coingecko,loser,11,W,Wormhole,0.063543,-0.006620335929267016,-9.43567,122718739,297141191,2025-06-28T01:14:15.500389
coingecko,loser,12,BNKR,BankrCoin,0.0003334,-3.354351935812e-05,-9.14145,2962262,33328041,2025-06-28T01:14:15.500398
coingecko,loser,13,DOG,Dog (Bitcoin),0.00412604,-0.000395066966567211,-8.73829,50460113,414315375,2025-06-28T01:14:15.500406
coingecko,loser,14,ASM,Assemble AI,0.01719128,-0.001600576647040143,-8.51739,2450864,25797622,2025-06-28T01:14:15.500414
coingecko,loser,15,ALEO,ALEO,0.187802,-0.01701779538424178,-8.30867,4751067,77126827,2025-06-28T01:14:15.500423
coingecko,loser,16,ACX,Across Protocol,0.1344,-0.012042827098524306,-8.2236,30568570,59476813,2025-06-28T01:14:15.500432
coingecko,loser,17,IAG,Iagon,0.127844,-0.011143233374892286,-8.01744,709593,47974052,2025-06-28T01:14:15.500440
coingecko,loser,18,TREE,Tree,0.305196,-0.026533245504191894,-7.99846,55705,30837271,2025-06-28T01:14:15.500448
coingecko,loser,19,JELLYJELLY,Jelly-My-Jelly,0.028519,-0.002407821499245642,-7.78554,7269762,28481036,2025-06-28T01:14:15.500457
coingecko,loser,20,ERG,Ergo,0.823024,-0.06907131461496863,-7.74259,297008,66812137,2025-06-28T01:14:15.500469
coingecko,loser,21,HOLD,Everybody,0.0009336,-7.7974435196738e-05,-7.7082,126875,25713111,2025-06-28T01:14:15.500478
coingecko,loser,22,RARE,SuperRare,0.050877,-0.004136508731115943,-7.51909,79526323,41743107,2025-06-28T01:14:15.500489
coingecko,loser,23,FUEL,Fuel Network,0.00720769,-0.00057888839071244,-7.43444,1715427,37438979,2025-06-28T01:14:15.500497
coingecko,loser,24,MGO,Mango Network,0.01649906,-0.001287337500202587,-7.23776,8089661,26133494,2025-06-28T01:14:15.500505
